type,price,beds,bath,propertysqft,state,administrative_area_level_2,locality,sublocality,latitude,longitude,borough,price_per_sqft,price_range
House,1480000,4,4,1596.0,"Flushing, NY 11354",United States,New York,Queens County,40.7699832,-73.8257555,Queens,927.32,$1M–$2M
House,628000,3,2,1824.0,"Staten Island, NY 10314",United States,New York,Richmond County,40.5755968,-74.1636272,Staten Island,344.3,$500K–$1M
Co-Op,190000,2,1,875.0,"Bronx, NY 10468",New York,Bronx County,The Bronx,40.8766081,-73.8998497,Bronx,217.14,< $500K
Condo,450000,2,1,2184.207862,"Flushing, NY 11355",New York,Queens County,Queens,40.7541793,-73.8310866,Queens,206.02,< $500K
Contingent,2473888,4,6,5600.0,"Staten Island, NY 10312",United States,New York,Richmond County,40.5464716,-74.1880551,Staten Island,441.77,$2M–$5M
Contingent,785000,3,2,1950.0,"Staten Island, NY 10305",United States,New York,Richmond County,40.5990416,-74.0674289,Staten Island,402.56,$500K–$1M
House,699900,3,2,1240.0,"Middle Village, NY 11379",United States,New York,Queens County,40.71397,-73.8970573,Queens,564.44,$500K–$1M
Multi-Family,2495000,3,4,2184.207862,"Queens, NY 11370",United States,New York,Queens County,40.7679759,-73.899664,Queens,1142.29,$2M–$5M
Co-Op,149999,1,1,850.0,"Bronx, NY 10470",New York,Bronx County,The Bronx,40.8992144,-73.8624103,Bronx,176.47,< $500K
Co-Op,208000,1,1,610.0,"Whitestone, NY 11357",New York,New York County,New York,40.7398044,-73.9980373,Manhattan,340.98,< $500K
Multi-Family,1768888,10,10,3933.0,"Brooklyn, NY 11220",United States,New York,Kings County,40.6410259,-74.0112793,Brooklyn,449.76,$1M–$2M
Multi-Family,1239998,4,4,2250.0,"Staten Island, NY 10309",United States,New York,Richmond County,40.5355587,-74.2075918,Staten Island,551.11,$1M–$2M
Multi-Family,1699000,9,5,5500.0,"Bronx, NY 10467",United States,New York,Bronx County,40.8754624,-73.8807502,Bronx,308.91,$1M–$2M
House,1350000,3,3,2184.207862,"Fresh Meadows, NY 11366",United States,New York,Queens County,40.724706,-73.7957477,Queens,618.07,$1M–$2M
House,889000,3,2,2362.0,"Staten Island, NY 10312",United States,New York,Richmond County,40.5395766,-74.1810757,Staten Island,376.38,$500K–$1M
Condo,1300000,2,2,1100.0,"Brooklyn, NY 11231",New York,Kings County,Brooklyn,40.6746458,-73.9992831,Brooklyn,1181.82,$1M–$2M
Co-Op,310000,2,1,675.0,"Bellerose, NY 11426",New York,Queens County,Queens,40.7444053,-73.7237661,Queens,459.26,< $500K
Multi-Family,11000000,50,50,22035.0,"Brooklyn, NY 11236",United States,New York,Kings County,40.6376964,-73.9048363,Brooklyn,499.21,$10M–$50M
Co-Op,239900,1,1,585.0,"Glen Oaks, NY 11004",New York,Queens County,Queens,40.7516659,-73.7183001,Queens,410.09,< $500K
Co-Op,257000,3,1,450.0,"Brooklyn, NY 11235",New York,Kings County,Brooklyn,40.5756277,-73.9667833,Brooklyn,571.11,< $500K
Condo,1090000,2,2,1860.0,"Bayside, NY 11360",New York,Queens County,Queens,40.7879226,-73.7863723,Queens,586.02,$1M–$2M
Multi-Family,799999,6,2,2184.207862,"Brooklyn, NY 11234",United States,New York,Kings County,40.6245872,-73.9219517,Brooklyn,366.27,$500K–$1M
Townhouse,2045000,6,4,3976.0,"New York, NY 10031",United States,New York,New York County,40.8305666,-73.9469641,Manhattan,514.34,$2M–$5M
Multi-Family,1195000,3,2,2700.0,"Staten Island, NY 10312",United States,New York,Richmond County,40.5424657,-74.1746625,Staten Island,442.59,$1M–$2M
Co-Op,340000,2,1,900.0,"Bronx, NY 10471",New York,Bronx County,The Bronx,40.8919476,-73.8973687,Bronx,377.78,< $500K
House,1375000,6,2,1596.0,"Flushing, NY 11354",United States,New York,Queens County,40.7681033,-73.8107752,Queens,861.53,$1M–$2M
House,749000,3,1,1644.0,"Staten Island, NY 10310",United States,New York,Richmond County,40.6267035,-74.1052076,Staten Island,455.6,$500K–$1M
Co-Op,775000,3,2,1880.0,"Manhattan, NY 10065",New York,New York County,New York,40.7636632,-73.9655082,Manhattan,412.23,$500K–$1M
Condo,1090000,2,2,1860.0,"Bayside, NY 11360",New York,Queens County,Queens,40.7879226,-73.7863723,Queens,586.02,$1M–$2M
Co-Op,340000,2,1,900.0,"Bronx, NY 10471",New York,Bronx County,The Bronx,40.8919476,-73.8973687,Bronx,377.78,< $500K
Multi-Family,948000,7,3,2184.207862,"Saint Albans, NY 11412",United States,New York,Queens County,40.694328,-73.7581979,Queens,434.02,$500K–$1M
House,880000,3,2,2184.207862,"Woodside, NY 11377",United States,New York,Queens County,40.7439956,-73.908547,Queens,402.89,$500K–$1M
Co-Op,699000,1,1,600.0,"New York, NY 10023",New York,New York County,New York,40.7794608,-73.979919,Manhattan,1165.0,$500K–$1M
Co-Op,2250000,4,3,2184.207862,"Manhattan, NY 10024",United States,New York,New York County,40.7830893,-73.9713177,Manhattan,1030.12,$2M–$5M
Co-Op,319000,3,1,2184.207862,"Manhattan, NY 10037",New York,New York County,New York,40.8153009,-73.9380717,Manhattan,146.05,< $500K
Multi-Family,1300000,6,3,2184.207862,"Brooklyn, NY 11234",United States,New York,Kings County,40.6236835,-73.9213087,Brooklyn,595.18,$1M–$2M
Multi-Family,729000,3,3,1800.0,"Brooklyn, NY 11236",United States,New York,Kings County,40.6391205,-73.9112362,Brooklyn,405.0,$500K–$1M
Condo,425000,2,2,800.0,"Bronx, NY 10463",New York,Bronx County,The Bronx,40.8848915,-73.9110436,Bronx,531.25,< $500K
Co-Op,399000,1,1,2184.207862,"New York, NY 10028",New York,New York County,New York,40.7723985,-73.9482206,Manhattan,182.67,< $500K
Co-Op,625000,3,1,652.0,"Brooklyn, NY 11201",Kings County,Brooklyn,Brooklyn Heights,40.702334,-73.9937463,Brooklyn,958.59,$500K–$1M
Co-Op,269000,1,1,700.0,"Rego Park, NY 11374",New York,Queens County,Queens,40.7318958,-73.8599645,Queens,384.29,< $500K
Condo,449000,2,2,1440.0,"Staten Island, NY 10314",United States,New York,Richmond County,40.580134,-74.154154,Staten Island,311.81,< $500K
Multi-Family,699000,8,5,2300.0,"Bronx, NY 10457",United States,New York,Bronx County,40.8460907,-73.8887912,Bronx,303.91,$500K–$1M
Co-Op,550000,3,2,1250.0,"Manhattan, NY 10035",New York,New York County,New York,40.8071957,-73.941821,Manhattan,440.0,$500K–$1M
Townhouse,799900,3,2,2058.0,"Staten Island, NY 10309",United States,New York,Richmond County,40.5147701,-74.2022363,Staten Island,388.68,$500K–$1M
House,758000,3,1,1200.0,"Brooklyn, NY 11214",11214,United States,New York,40.5908794,-73.9865956,Manhattan,631.67,$500K–$1M
House,829000,4,2,1680.0,"Howard Beach, NY 11414",United States,New York,Queens County,40.6565796,-73.8516349,Queens,493.45,$500K–$1M
Condo,789000,2,2,1230.0,"Brooklyn, NY 11235",New York,Kings County,Brooklyn,40.577533,-73.958513,Brooklyn,641.46,$500K–$1M
Townhouse,24990000,7,6,8500.0,"New York, NY 10022",United States,New York,New York County,40.7577238,-73.9597924,Manhattan,2940.0,$10M–$50M
House,2250000,6,4,2184.207862,"Brooklyn, NY 11222",United States,New York,Kings County,40.7246592,-73.9475691,Brooklyn,1030.12,$2M–$5M
Co-Op,359000,1,1,2184.207862,"Manhattan, NY 10028",United States,New York,New York County,40.7751786,-73.9550168,Manhattan,164.36,< $500K
House,1439000,6,4,1440.0,"Brooklyn, NY 11219",United States,New York,Kings County,40.6337561,-74.003307,Brooklyn,999.31,$1M–$2M
Multi-Family,1050000,7,4,3280.0,"Bronx, NY 10472",United States,New York,Bronx County,40.8282228,-73.8706372,Bronx,320.12,$1M–$2M
Co-Op,134500,3,1,503.0,"Bronx, NY 10463",New York,Bronx County,The Bronx,40.8789773,-73.916004,Bronx,267.4,< $500K
Townhouse,11900000,6,2,9075.0,"New York, NY 10025",United States,New York,New York County,40.8032028,-73.9687464,Manhattan,1311.29,$10M–$50M
House,270000,4,2,2000.0,"Bronx, NY 10458",United States,New York,Bronx County,40.8550515,-73.8852304,Bronx,135.0,< $500K
Multi-Family,2280000,6,5,2184.207862,"Flushing, NY 11355",United States,New York,Queens County,40.7472951,-73.8164494,Queens,1043.86,$2M–$5M
Co-Op,278999,1,1,2184.207862,"Little Neck, NY 11362",United States,New York,Queens County,40.7601741,-73.728329,Queens,127.73,< $500K
Multi-Family,2280000,6,5,2184.207862,"Flushing, NY 11355",United States,New York,Queens County,40.7472951,-73.8164494,Queens,1043.86,$2M–$5M
Multi-Family,625000,5,2,2184.207862,"Brooklyn, NY 11221",United States,New York,Kings County,40.6921071,-73.9400823,Brooklyn,286.14,$500K–$1M
House,270000,4,2,2000.0,"Bronx, NY 10458",United States,New York,Bronx County,40.8550515,-73.8852304,Bronx,135.0,< $500K
House,529000,3,2,1150.0,"Staten Island, NY 10302",United States,New York,Richmond County,40.635324,-74.133679,Staten Island,460.0,$500K–$1M
Townhouse,1050000,4,1,2184.207862,"Brooklyn, NY 11225",United States,New York,Kings County,40.6701878,-73.9595284,Brooklyn,480.72,$1M–$2M
Co-Op,225000,3,1,2184.207862,"Manhattan, NY 10026",New York,New York County,New York,40.7992319,-73.9526079,Manhattan,103.01,< $500K
Townhouse,1049000,3,1,1224.0,"Forest Hills, NY 11375",United States,New York,Queens County,40.7207542,-73.8537801,Queens,857.03,$1M–$2M
Co-Op,259000,1,1,2184.207862,"Jackson Heights, NY 11372",New York,Queens County,Queens,40.7488599,-73.8926999,Queens,118.58,< $500K
House,599000,3,2,2184.207862,"Brooklyn, NY 11207",United States,New York,Kings County,40.6645719,-73.8995034,Brooklyn,274.24,$500K–$1M
Contingent,675000,3,1,1316.0,"Staten Island, NY 10301",United States,New York,Richmond County,40.630475,-74.100665,Staten Island,512.92,$500K–$1M
Condo,3595000,3,3,1862.0,"New York, NY 10013",New York,New York County,New York,40.7241961,-74.0091487,Manhattan,1930.72,$2M–$5M
Contingent,789000,4,2,1871.0,"Staten Island, NY 10309",United States,New York,Richmond County,40.5248784,-74.2121776,Staten Island,421.7,$500K–$1M
Multi-Family,998000,6,3,1872.0,"Ridgewood, NY 11385",United States,New York,Queens County,40.7086372,-73.9026067,Queens,533.12,$500K–$1M
Multi-Family,889000,6,2,2280.0,"Bronx, NY 10461",United States,New York,Bronx County,40.8368581,-73.8449273,Bronx,389.91,$500K–$1M
House,825000,2,2,1820.0,"Brooklyn, NY 11204",United States,New York,Kings County,40.6163169,-73.9981652,Brooklyn,453.3,$500K–$1M
Multi-Family,599999,6,2,3490.0,"Brooklyn, NY 11208",United States,New York,Kings County,40.6649303,-73.8670719,Brooklyn,171.92,$500K–$1M
Townhouse,10999000,5,7,2184.207862,"New York, NY 10024",United States,New York,New York County,40.7836212,-73.9759437,Manhattan,5035.69,$10M–$50M
House,2750000,4,2,2184.207862,"Bronx, NY 10471",United States,New York,Bronx County,40.8930548,-73.9067416,Bronx,1259.04,$2M–$5M
House,649000,3,2,1064.0,"Brooklyn, NY 11234",United States,New York,Kings County,40.6215026,-73.9066372,Brooklyn,609.96,$500K–$1M
Multi-Family,989000,8,5,3960.0,"Bronx, NY 10466",United States,New York,Bronx County,40.8807579,-73.8418489,Bronx,249.75,$500K–$1M
Condo,357000,3,1,1100.0,"Bronx, NY 10462",New York,Bronx County,The Bronx,40.8389829,-73.8601515,Bronx,324.55,< $500K
Townhouse,25000000,6,8,2184.207862,"Manhattan, NY 10128",United States,New York,New York County,40.782683,-73.9586904,Manhattan,11445.8,$10M–$50M
Co-Op,119888,1,1,2184.207862,"Corona, NY 11368",New York,Queens County,Queens,40.7582228,-73.8559216,Queens,54.89,< $500K
Multi-Family,1099999,4,2,2185.0,"Bronx, NY 10465",United States,New York,Bronx County,40.8135939,-73.8019007,Bronx,503.43,$1M–$2M
House,749000,2,1,2184.207862,"Fresh Meadows, NY 11366",United States,New York,Queens County,40.7236718,-73.8030548,Queens,342.92,$500K–$1M
Multi-Family,589999,4,2,1680.0,"Staten Island, NY 10302",United States,New York,Richmond County,40.6314894,-74.1348461,Staten Island,351.19,$500K–$1M
Multi-Family,6995000,20,20,12492.0,"Manhattan, NY 10003",United States,New York,New York County,40.7368035,-73.9864789,Manhattan,559.96,$5M–$10M
Townhouse,22500000,5,6,8725.0,"New York, NY 10065",United States,New York,New York County,40.7669348,-73.9701575,Manhattan,2578.8,$10M–$50M
House,749000,3,2,1332.0,"Staten Island, NY 10314",United States,New York,Richmond County,40.6155772,-74.1364517,Staten Island,562.31,$500K–$1M
Condo,499000,3,2,1156.0,"Ozone Park, NY 11417",New York,Queens County,Queens,40.6726721,-73.8496745,Queens,431.66,< $500K
House,859000,3,3,2184.207862,"Hollis, NY 11423",United States,New York,Queens County,40.71176,-73.753743,Queens,393.28,$500K–$1M
House,899000,3,2,1324.0,"Brooklyn, NY 11234",United States,New York,Kings County,40.6055237,-73.9143161,Brooklyn,679.0,$500K–$1M
Co-Op,315000,2,1,850.0,"Brooklyn, NY 11234",New York,Kings County,Brooklyn,40.6142504,-73.9196974,Brooklyn,370.59,< $500K
House,1999999,5,2,5301.0,"Staten Island, NY 10304",United States,New York,Richmond County,40.6071393,-74.097086,Staten Island,377.29,$1M–$2M
House,950000,4,3,1746.0,"Queens Village, NY 11429",United States,New York,Queens County,40.7107548,-73.7320869,Queens,544.1,$500K–$1M
Townhouse,13950000,6,6,6798.0,"Manhattan, NY 10003",United States,New York,New York County,40.736891,-73.985669,Manhattan,2052.07,$10M–$50M
House,1399000,5,3,3375.0,"Howard Beach, NY 11414",United States,New York,Queens County,40.6491159,-73.8389887,Queens,414.52,$1M–$2M
Condo,595000,3,1,660.0,"Manhattan, NY 10005",New York,New York County,New York,40.7059312,-74.0093393,Manhattan,901.52,$500K–$1M
House,1618000,5,2,2200.0,"Brooklyn, NY 11234",United States,New York,Kings County,40.6148883,-73.9078973,Brooklyn,735.45,$1M–$2M
Contingent,748000,3,2,1592.0,"Staten Island, NY 10309",United States,New York,Richmond County,40.5342218,-74.2016301,Staten Island,469.85,$500K–$1M
Multi-Family,1100000,3,2,1928.0,"Staten Island, NY 10307",United States,New York,Richmond County,40.5142085,-74.2505102,Staten Island,570.54,$1M–$2M
Townhouse,3995000,8,8,5046.0,"Manhattan, NY 10025",United States,New York,New York County,40.80059,-73.97071,Manhattan,791.72,$2M–$5M
Co-Op,659000,1,1,440.0,"Brooklyn, NY 11201",New York,Kings County,Brooklyn,40.6867525,-73.996485,Brooklyn,1497.73,$500K–$1M
Multi-Family,1099000,6,3,2018.0,"Corona, NY 11368",United States,New York,Queens County,40.7385519,-73.8545527,Queens,544.6,$1M–$2M
Condo,319000,2,2,1102.0,"Bronx, NY 10473",United States,New York,Bronx County,40.806951,-73.853401,Bronx,289.47,< $500K
Multi-Family,999000,9,3,3168.0,"Bronx, NY 10453",United States,New York,Bronx County,40.8474641,-73.9177608,Bronx,315.34,$500K–$1M
Co-Op,398000,3,2,1571.0,"Jamaica, NY 11432",New York,Queens County,Queens,40.7125699,-73.79318,Queens,253.34,< $500K
Co-Op,249000,3,1,500.0,"New York, NY 10034",New York,New York County,New York,40.8717961,-73.916064,Manhattan,498.0,< $500K
Multi-Family,1299000,3,2,2648.0,"Flushing, NY 11355",United States,New York,Queens County,40.7544269,-73.8114185,Queens,490.56,$1M–$2M
Townhouse,8950000,3,6,6336.0,"New York, NY 10016",United States,New York,New York County,40.7437415,-73.978774,Manhattan,1412.56,$5M–$10M
House,750000,5,3,1500.0,"South Ozone Park, NY 11436",United States,New York,Queens County,40.6693291,-73.7924388,Queens,500.0,$500K–$1M
Multi-Family,1100000,5,3,1916.0,"Brooklyn, NY 11234",United States,New York,Kings County,40.6183626,-73.9260392,Brooklyn,574.11,$1M–$2M
House,1275000,3,4,2380.0,"Staten Island, NY 10309",United States,New York,Richmond County,40.5393625,-74.214287,Staten Island,535.71,$1M–$2M
House,689000,2,2,750.0,"Brooklyn, NY 11235",United States,New York,Kings County,40.5817208,-73.9645608,Brooklyn,918.67,$500K–$1M
Co-Op,320000,1,1,2184.207862,"Forest Hills, NY 11375",United States,New York,Queens County,40.7192438,-73.8499268,Queens,146.51,< $500K
Townhouse,3995000,5,6,2184.207862,"Brooklyn, NY 11217",United States,New York,Kings County,40.6799381,-73.9764616,Brooklyn,1829.04,$2M–$5M
Multi-Family,1399000,6,5,2500.0,"Jamaica, NY 11436",United States,New York,Queens County,40.6717866,-73.7955639,Queens,559.6,$1M–$2M
House,395000,2,2,1089.0,"Bronx, NY 10473",United States,New York,Bronx County,40.807051,-73.853819,Bronx,362.72,< $500K
House,1250000,4,2,2273.0,"Bronx, NY 10471",United States,New York,Bronx County,40.8976524,-73.9019402,Bronx,549.93,$1M–$2M
Co-Op,719000,3,2,1440.0,"Forest Hills, NY 11375",New York,Queens County,Queens,40.721289,-73.8403901,Queens,499.31,$500K–$1M
Multi-Family,795000,3,4,1171.0,"Bronx, NY 10463",United States,New York,Bronx County,40.8809803,-73.9074446,Bronx,678.91,$500K–$1M
Multi-Family,1175000,6,5,2184.207862,"Jamaica, NY 11436",United States,New York,Queens County,40.6820237,-73.800217,Queens,537.95,$1M–$2M
Condo,4250000,3,4,2054.0,"Manhattan, NY 10021",New York County,New York,Manhattan,40.7704759,-73.9574549,Manhattan,2069.13,$2M–$5M
Townhouse,2500000,3,4,2201.0,"New York, NY 10016",United States,New York,New York County,40.741725,-73.9786641,Manhattan,1135.85,$2M–$5M
Multi-Family,850000,3,2,1600.0,"Brooklyn, NY 11224",United States,New York,Kings County,40.5776897,-74.0072206,Brooklyn,531.25,$500K–$1M
House,1350000,4,2,2948.0,"Bronx, NY 10461",United States,New York,Bronx County,40.8548137,-73.8500157,Bronx,457.94,$1M–$2M
House,929000,5,2,2200.0,"Staten Island, NY 10306",United States,New York,Richmond County,40.5592121,-74.1263587,Staten Island,422.27,$500K–$1M
Townhouse,549990,3,2,2184.207862,"Staten Island, NY 10306",United States,New York,Richmond County,40.5610279,-74.1050355,Staten Island,251.8,$500K–$1M
Multi-Family,34000000,3,8,2184.207862,"New York, NY 10011",United States,New York,New York County,40.7433901,-73.9973776,Manhattan,15566.28,$10M–$50M
Multi-Family,1550000,6,6,2184.207862,"Brooklyn, NY 11224",United States,New York,Kings County,40.5757051,-74.0098832,Brooklyn,709.64,$1M–$2M
Co-Op,265000,1,1,2184.207862,"Manhattan, NY 10035",New York,New York County,New York,40.8003865,-73.9443376,Manhattan,121.33,< $500K
House,879000,4,2,1630.0,"Fresh Meadows, NY 11366",United States,New York,Queens County,40.7282179,-73.8032584,Queens,539.26,$500K–$1M
Land,1200000,3,2,2184.207862,"New York, NY 10035",United States,New York,New York County,40.797735,-73.933806,Manhattan,549.4,$1M–$2M
Townhouse,7500000,4,2,4250.0,"New York, NY 10075",United States,New York,New York County,40.77551,-73.957627,Manhattan,1764.71,$5M–$10M
Co-Op,325000,2,1,2184.207862,"New Hyde Park, NY 11040",New York,Queens County,Queens,40.7427699,-73.70245,Queens,148.8,< $500K
House,755000,2,2,2184.207862,"Bayside, NY 11361",United States,New York,Queens County,40.7565607,-73.7796734,Queens,345.66,$500K–$1M
Co-Op,325000,2,2,2184.207862,"Bronx, NY 10463",New York,Bronx County,The Bronx,40.8890553,-73.9033819,Bronx,148.8,< $500K
Co-Op,1395000,2,1,2184.207862,"New York, NY 10007",New York,New York County,New York,40.7134524,-74.0070904,Manhattan,638.68,$1M–$2M
House,649000,3,2,980.0,"Staten Island, NY 10312",United States,New York,Richmond County,40.5434215,-74.174846,Staten Island,662.24,$500K–$1M
House,499999,2,1,800.0,"Staten Island, NY 10314",United States,New York,Richmond County,40.594453,-74.1889609,Staten Island,625.0,< $500K
Multi-Family,999998,4,4,2720.0,"Staten Island, NY 10314",United States,New York,Richmond County,40.5862681,-74.1585168,Staten Island,367.65,$500K–$1M
Multi-Family,1358000,6,3,2184.207862,"Bedford Stuyvesant, NY 11221",United States,New York,Kings County,40.6871306,-73.9215141,Brooklyn,621.74,$1M–$2M
House,1650000,5,4,2184.207862,"Bronx, NY 10463",United States,New York,Bronx County,40.8806865,-73.9157055,Bronx,755.42,$1M–$2M
Co-Op,680000,1,1,2184.207862,"Brooklyn, NY 11201",New York,Kings County,Brooklyn,40.6915357,-73.9956516,Brooklyn,311.33,$500K–$1M
Co-Op,258888,1,1,650.0,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,40.617279,-74.0267532,Brooklyn,398.29,< $500K
Townhouse,660000,3,2,1283.0,"Bronx, NY 10461",United States,New York,Bronx County,40.851494,-73.8492232,Bronx,514.42,$500K–$1M
Co-Op,300000,1,1,2184.207862,"New York, NY 10075",New York,New York County,New York,40.7719231,-73.955157,Manhattan,137.35,< $500K
Townhouse,318888,2,2,1270.0,"Staten Island, NY 10303",United States,New York,Richmond County,40.6384591,-74.1646633,Staten Island,251.09,< $500K
Co-Op,330000,1,2,2184.207862,"Manhattan, NY 10022",New York,New York County,New York,40.7595774,-73.964779,Manhattan,151.08,< $500K
Condo,747000,11,1,747.0,"New York, NY 10025",New York,New York County,New York,40.7942099,-73.9636725,Manhattan,1000.0,$500K–$1M
House,699000,2,2,2184.207862,"Glendale, NY 11385",United States,New York,Queens County,40.7037872,-73.8752532,Queens,320.02,$500K–$1M
Co-Op,875000,1,1,2184.207862,"Manhattan, NY 10023",New York,New York County,New York,40.7769649,-73.9769247,Manhattan,400.6,$500K–$1M
Co-Op,385000,2,2,1100.0,"Bronx, NY 10463",New York,Bronx County,The Bronx,40.8827696,-73.9148245,Bronx,350.0,< $500K
Co-Op,985000,3,2,2184.207862,"Queens, NY 11372",Queens County,Queens,Jackson Heights,40.7518439,-73.8822788,Queens,450.96,$500K–$1M
Co-Op,349000,1,1,1017.0,"Brooklyn, NY 11694",New York,Queens County,Queens,40.5781687,-73.8586706,Queens,343.17,< $500K
Townhouse,5950000,4,4,2184.207862,"New York, NY 10028",United States,New York,New York County,40.7750765,-73.9495633,Manhattan,2724.1,$5M–$10M
House,968000,3,2,1344.0,"Rego Park, NY 11374",United States,New York,Queens County,40.7309404,-73.8683812,Queens,720.24,$500K–$1M
Condo,569000,2,2,2184.207862,"Forest Hills, NY 11375",New York,Queens County,Queens,40.7332174,-73.8448704,Queens,260.51,$500K–$1M
Condo,238000,1,1,650.0,"Staten Island, NY 10305",New York,Richmond County,Staten Island,40.6109595,-74.060351,Staten Island,366.15,< $500K
Multi-Family,1200000,6,6,5712.0,"Glendale, NY 11385",United States,New York,Queens County,40.7023326,-73.8891107,Queens,210.08,$1M–$2M
Co-Op,4995000,4,3,2184.207862,"New York, NY 10024",New York,New York County,New York,40.7910972,-73.9748583,Manhattan,2286.87,$2M–$5M
House,911600,3,2,1596.0,"Flushing, NY 11354",United States,New York,Queens County,40.7685072,-73.8246067,Queens,571.18,$500K–$1M
House,598000,3,2,1144.0,"Bronx, NY 10463",United States,New York,Bronx County,40.87796,-73.9011666,Bronx,522.73,$500K–$1M
Condo,472000,1,1,700.0,"Elmhurst, NY 11373",New York,Queens County,Queens,40.73531,-73.8812513,Queens,674.29,< $500K
House,549000,1,2,2184.207862,"South Ozone Park, NY 11420",United States,New York,Queens County,40.669243,-73.809973,Queens,251.35,$500K–$1M
Multi-Family,3995000,3,2,12200.0,"Staten Island, NY 10305",United States,New York,Richmond County,40.6107278,-74.0701607,Staten Island,327.46,$2M–$5M
Condo,472000,1,1,700.0,"Elmhurst, NY 11373",New York,Queens County,Queens,40.73531,-73.8812513,Queens,674.29,< $500K
House,598000,3,2,1144.0,"Bronx, NY 10463",United States,New York,Bronx County,40.87796,-73.9011666,Bronx,522.73,$500K–$1M
House,1085000,5,3,1200.0,"Brooklyn, NY 11204",United States,New York,Kings County,40.618311,-73.997597,Brooklyn,904.17,$1M–$2M
Multi-Family,680000,3,2,1535.0,"Brooklyn, NY 11208",United States,New York,Kings County,40.6713695,-73.869277,Brooklyn,443.0,$500K–$1M
Condo,200000,1,2,637.0,"Bronx, NY 10462",United States,New York,Bronx County,40.8389649,-73.8613485,Bronx,313.97,< $500K
Co-Op,210000,2,1,1000.0,"Flushing, NY 11367",New York,Queens County,Queens,40.734848,-73.8232512,Queens,210.0,< $500K
Townhouse,525000,2,2,996.0,"Staten Island, NY 10312",United States,New York,Richmond County,40.546286,-74.195582,Staten Island,527.11,$500K–$1M
Multi-Family,999000,5,3,2184.207862,"Brooklyn, NY 11234",United States,New York,Kings County,40.6207744,-73.9055089,Brooklyn,457.37,$500K–$1M
Multi-Family,1799000,3,1,5400.0,"Staten Island, NY 10306",New York,Richmond County,Staten Island,40.5767317,-74.1187369,Staten Island,333.15,$1M–$2M
Townhouse,1900000,9,5,5000.0,"New York, NY 10035",United States,New York,New York County,40.8082842,-73.9412356,Manhattan,380.0,$1M–$2M
House,519000,3,2,1200.0,"Howard Beach, NY 11414",United States,New York,Queens County,40.651735,-73.830298,Queens,432.5,$500K–$1M
House,728900,4,1,960.0,"Staten Island, NY 10314",United States,New York,Richmond County,40.6163157,-74.1248333,Staten Island,759.27,$500K–$1M
Co-Op,549000,2,1,2184.207862,"Queens, NY 11375",United States,New York,Queens County,40.7201292,-73.8398387,Queens,251.35,$500K–$1M
Co-Op,299999,2,2,1300.0,"Bayside, NY 11360",New York,Queens County,Queens,40.7808597,-73.7834998,Queens,230.77,< $500K
Co-Op,1195000,2,2,2184.207862,"New York, NY 10011",New York,New York County,New York,40.7361476,-73.9955368,Manhattan,547.11,$1M–$2M
Co-Op,200000,1,1,2184.207862,"Queens, NY 11373",New York,Queens County,Queens,40.7304899,-73.8735933,Queens,91.57,< $500K
Co-Op,299999,2,2,1300.0,"Bayside, NY 11360",New York,Queens County,Queens,40.7808597,-73.7834998,Queens,230.77,< $500K
Condo,599000,2,2,1095.0,"Brooklyn, NY 11224",New York,Kings County,Brooklyn,40.5784256,-73.9853674,Brooklyn,547.03,$500K–$1M
Co-Op,1775000,2,2,2184.207862,"Manhattan, NY 10012",New York,New York County,New York,40.7261696,-74.0013901,Manhattan,812.65,$1M–$2M
Multi-Family,1059000,6,3,2184.207862,"Brooklyn, NY 11208",United States,New York,Kings County,40.6830732,-73.8797396,Brooklyn,484.84,$1M–$2M
House,1288888,3,4,1672.0,"Staten Island, NY 10301",United States,New York,Richmond County,40.6069525,-74.1016936,Staten Island,770.87,$1M–$2M
Multi-Family,1299999,8,4,3448.0,"Brooklyn, NY 11234",United States,New York,Kings County,40.6259736,-73.9141206,Brooklyn,377.03,$1M–$2M
House,1399999,3,2,2700.0,"Staten Island, NY 10307",United States,New York,Richmond County,40.5116874,-74.2388187,Staten Island,518.52,$1M–$2M
House,725000,3,2,2410.0,"Bronx, NY 10466",United States,New York,Bronx County,40.8965547,-73.8476725,Bronx,300.83,$500K–$1M
Co-Op,232500,1,1,2184.207862,"Kew Gardens, NY 11415",New York,Queens County,Queens,40.7121373,-73.8277084,Queens,106.45,< $500K
Co-Op,250000,3,1,2184.207862,"Manhattan, NY 10026",New York,New York County,New York,40.7992319,-73.9526079,Manhattan,114.46,< $500K
House,639000,2,2,862.0,"Brooklyn, NY 11234",United States,New York,Kings County,40.6175251,-73.9255226,Brooklyn,741.3,$500K–$1M
House,950000,4,4,2060.0,"College Point, NY 11356",United States,New York,Queens County,40.7884912,-73.8515778,Queens,461.17,$500K–$1M
Condo,12500000,3,2,4000.0,"Manhattan, NY 10013",New York,New York County,New York,40.7217614,-74.0013329,Manhattan,3125.0,$10M–$50M
Co-Op,430000,2,1,2184.207862,"Woodside, NY 11377",New York,Queens County,Queens,40.7472542,-73.8978152,Queens,196.87,< $500K
Co-Op,299000,3,1,2184.207862,"New York, NY 10017",10017,United States,New York,40.7488491,-73.9716161,Manhattan,136.89,< $500K
